product_id,product_name,aisle_id,department_id,unit_cost,unit_price
1,Chocolate Sandwich Cookies,61,19,36.9,41
2,All-Seasons Salt,104,13,44.1,49
3,Robust Golden Unsweetened Oolong Tea,94,7,15.3,17
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1,34.2,38
5,Green Chile Anytime Sauce,5,13,17.1,19
6,Dry Nose Oil,11,11,33.3,37
7,Pure Coconut Water With Orange,98,7,14.4,16
8,Cut Russet Potatoes Steam N' Mash,116,1,9,10
9,Light Strawberry Blueberry Yogurt,120,16,37.8,42
10,Sparkling Orange Juice & Prickly Pear Beverage,115,7,34.2,38
11,Peach Mango Juice,31,7,38.7,43
12,Chocolate Fudge Layer Cake,119,1,43.2,48
13,Saline Nasal Mist,11,11,23.4,26
14,Fresh Scent Dishwasher Cleaner,74,17,26.1,29
15,Overnight Diapers Size 6,56,18,7.2,8
16,Mint Chocolate Flavored Syrup,103,19,37.8,42
17,Rendered Duck Fat,35,12,9,10
18,Pizza for One Suprema  Frozen Pizza,79,1,23.4,26
19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9,8.1,9
20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7,31.5,35
21,Small & Medium Dental Dog Treats,40,8,37.8,42
22,Fresh Breath Oral Rinse Mild Mint,20,11,7.2,8
23,Organic Turkey Burgers,49,12,20.7,23
24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,47,11,39.6,44
25,Salted Caramel Lean Protein & Fiber Bar,3,19,41.4,46
26,Fancy Feast Trout Feast Flaked Wet Cat Food,41,8,29.7,33
27,Complete Spring Water Foaming Antibacterial Hand Wash,127,11,23.4,26
28,Wheat Chex Cereal,121,14,7.2,8
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15,24.3,27
30,"Three Cheese Ziti, Marinara with Meatballs",38,1,23.4,26
31,White Pearl Onions,123,4,17.1,19
32,Nacho Cheese White Bean Chips,107,19,23.4,26
33,Organic Spaghetti Style Pasta,131,9,27,30
34,Peanut Butter Cereal,121,14,22.5,25
35,Italian Herb Porcini Mushrooms Chicken Sausage,106,12,34.2,38
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1,9,10
37,Noodle Soup Mix With Chicken Broth,69,15,13.5,15
38,Ultra Antibacterial Dish Liquid,100,21,35.1,39
39,Daily Tangerine Citrus Flavored Beverage,64,7,35.1,39
40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,106,12,37.8,42
41,Organic Sourdough Einkorn Crackers Rosemary,78,19,40.5,45
42,Biotin 1000 mcg,47,11,7.2,8
43,Organic Clementines,123,4,6.3,7
44,Sparkling Raspberry Seltzer,115,7,26.1,29
45,European Cucumber,83,4,6.3,7
46,Raisin Cinnamon Bagels 5 count,58,1,16.2,18
47,Onion Flavor Organic Roasted Seaweed Snack,66,6,21.6,24
48,"School Glue, Washable, No Run",87,17,27,30
49,Vegetarian Grain Meat Sausages Italian - 4 CT,14,20,27.9,31
50,Pumpkin Muffin Mix,105,13,15.3,17
51,Sa Extra Hold Mousse Hair Styling,22,11,27.9,31
52,Mirabelle Brut Rose,134,5,9.9,11
53,Whole Leaf Pure Aloe With Lemon Juice,98,7,5.4,6
54,24/7 Performance Cat Litter,41,8,28.8,32
55,Lasting Color Shampoo,22,11,45,50
56,Healthy Pop Butter Popcorn,23,19,28.8,32
57,Flat Toothpicks,111,17,36,40
58,Whole Wheat Tortillas,128,3,9,10
59,Medium Taqueria Style Chipotle Salsa,50,19,22.5,25
60,Cheesy Creations Roasted Garlic Parmesan Sauce,9,9,27,30
61,Ramen Noodles Soup Chicken Mushroom Flavor,69,15,37.8,42
